        0.97513      374.45013    -1485.72286        3.11403        0.00005
        0.98261      377.32374    -1488.56800        3.09793        0.00019
        0.98978      380.07633    -1491.14087        3.08273        0.00042
        0.99586      382.40878    -1493.16867        3.07003        0.00075
        1.00025      384.09662    -1494.49246        3.06093        0.00117
        1.00277      385.06442    -1495.13240        3.05575        0.00168
        1.00372      385.42812    -1495.29910        3.05381        0.00228
        1.00385      385.47789    -1495.33562        3.05355        0.00297
        1.00412      385.58386    -1495.61204        3.05298        0.00373
        1.00544      386.08975    -1496.41800        3.05029        0.00457
        1.00838      387.21773    -1497.89772        3.04432        0.00548
        1.01311      389.03328    -1500.04239        3.03478        0.00646
        1.01944      391.46348    -1502.72571        3.02215        0.00751
        1.02693      394.34093    -1505.74932        3.00739        0.00862
        1.03500      397.44171    -1508.87121        2.99173        0.00980
        1.04299      400.50849    -1511.81475        2.97648        0.01103
        1.05013      403.25004    -1514.27258        2.96304        0.01231
        1.05559      405.34664    -1515.92351        2.95289        0.01364
        1.05855      406.48508    -1516.47215        2.94742        0.01503
        1.05834      406.40181    -1515.70142        2.94782        0.01645
        1.05452      404.93680    -1513.52272        2.95487        0.01791
        1.04710      402.08575    -1510.01833        2.96873        0.01941
        1.03652      398.02480    -1505.47186        2.98881        0.02092
        1.02381      393.14362    -1500.38535        3.01351        0.02245
        1.01055      388.04993    -1495.46298        3.03994        0.02399
        0.99876      383.52441    -1491.52195        3.06401        0.02553
        0.99056      380.37330    -1489.30199        3.08111        0.02706
        0.98751      379.20369    -1489.21667        3.08753        0.02857
        0.99008      380.18909    -1491.17559        3.08211        0.03008
        0.99735      382.98406    -1494.60654        3.06692        0.03157
        1.00740      386.84342    -1498.66421        3.04630        0.03305
        1.01794      390.88906    -1502.48976        3.02512        0.03452
        1.02690      394.32983    -1505.40151        3.00745        0.03599
        1.03285      396.61362    -1506.98822        2.99589        0.03746
        1.03509      397.47383    -1507.12857        2.99157        0.03892
        1.03367      396.92906    -1505.96256        2.99430        0.04039
        1.02924      395.22755    -1503.83081        3.00289        0.04185
        1.02287      392.78130    -1501.19321        3.01536        0.04330
        1.01583      390.07696    -1498.53741        3.02934        0.04475
        1.00933      387.58144    -1496.29553        3.04240        0.04619
        1.00437      385.67648    -1494.78747        3.05249        0.04762
        1.00159      384.61098    -1494.19310        3.05818        0.04903
        1.00129      384.49441    -1494.55297        3.05880        0.05042
