time_steps,rho,T_IC,T,T_error,U,U_error,P,P_error,kin_energy,kin_energy_error,mu ,mu_error,diff_a,diff_b,diff_resid,diff_r2,cv,eq_time,P_verlet,dt,D,D_error
3000,0.85,1.128000021,1.122010864,0.0002410997,-3398.45032478,0.0733097878,2.742686764,0.0003812208,1454.12605308,0.3124618721,-0.000252799,4.21929355343E-005,0.0014844358,-0.0070998036,2.1324031068,0.9992582382,2261.14990928,500,2.78,0.004,0.0618514921,0.0031420116
3000,0.85,0.8799999952,0.88255758,0.0002299978,-3926.72873373,0.0644555314,1.612789896,0.0001555785,1143.79464023,0.2980900825,-2.007786E-005,3.44742368159E-006,0.0011489275,-0.0167692471,1.5351784169,0.9991086945,2233.82481237,500,1.64,0.004,0.0478719798,0.0026659534
6000,0.85,0.7860000134,0.7865487644,0.0001265626,-4137.64914543,0.0160120681,0.9611070267,6.32434621615E-006,1019.36715895,0.1640194664,-4.96065888889E-006,1.24688103049E-006,0.0009201781,-0.0334449677,12.9400438536,0.9979928785,2272.58004832,1500,0.99,0.004,0.038340753,0.0038700003
6000,0.85,0.7820000052,0.7814727067,0.0002640628,-4143.40269977,0.0271845319,0.9587316311,1.41477068459E-005,1012.78857664,0.3422149387,-4.46286444444E-006,1.09378368594E-006,0.0007824537,0.0437750366,3.1349575237,0.9993265955,2258.52186753,1500,0.98,0.004,0.0326022387,0.001904842
5000,0.85,0.7820000052,0.77763591,0.0001706602,-4154.07646609,0.0215170516,0.92864788,1.56763486661E-005,1007.81606764,0.2211818707,-4.25442125E-006,9.43313762183E-007,0.0008313893,0.0684504884,5.9876357671,0.9983796165,2201.799868,1000,0.98,0.004,0.0346412217,0.0031590177
6000,0.85,0.7599999905,0.76187311,0.0001470409,-4187.61994723,0.0204454131,0.8006079175,3.81554319026E-005,987.38764682,0.1905462561,-3.2853E-006,8.07803697998E-007,0.0008583001,-0.0159627824,3.9783387035,0.9989892125,2110.69752497,2000,0.78,0.004,0.0357625027,0.0021458235
10000,0.85,0.719,0.72622829,0.0001758443,-4269.750998,0.0188979238,0.4705498625,0.0001278931,941.191895195,0.2279004062,-1.67149525E-006,4.50323663821E-007,0.0006104825,-0.0077089817,1.9821514713,0.9990045179,2320.19293107,6000,0.36,0.003,0.0339156951,0.0010493785
8000,0.85,0.658,0.651078594,0.0001679572,-4447.5024122,0.0342187671,-0.434335066,0.0003743732,843.797811064,0.2176795245,-0.000000336,9.17063778303E-008,0.0006554576,-0.0572044156,17.1760948865,0.9961789454,2257.49492069,3000,-0.2,0.004,0.0273107346,0.0033440026
8000,0.88,1.095,1.10205441,0.0002712885,-3557.84902116,0.0423886417,3.4285558,0.0006036505,1428.26246617,0.3515788774,-0.0001595367,0.000025478,0.0012113687,0.0253799163,3.5751337249,0.9989194289,2161.36025763,5000,3.48,0.004,0.0504736977,0.0015256346
8000,0.88,0.94,0.9435566233,0.0002946122,-3921.14341772,0.0379207733,2.7609111833,0.0005475036,1222.84936118,0.3818187995,-3.16688833333E-005,5.90148455642E-006,0.0009241344,0.0716941214,3.2371972938,0.998319835,2225.23023156,5000,2.72,0.004,0.0385055982,0.0014517404
